epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,3226.55,0.46702,0.29316,0.85755,0.9845,0.95565,0.99029,0.84307,0.688,0.31488,0.89353,0.000339673,0.000339673,0.000339673
79,3269.09,0.46148,0.30201,0.85398,0.9768,0.97374,0.99072,0.83492,0.69056,0.31225,0.89306,0.000325526,0.000325526,0.000325526
80,3310.88,0.46711,0.29235,0.85711,0.98402,0.96074,0.99186,0.83482,0.70346,0.31165,0.89811,0.000311379,0.000311379,0.000311379
81,3352.27,0.46567,0.28977,0.85203,0.95793,0.97478,0.99067,0.84899,0.68221,0.31131,0.88579,0.000297232,0.000297232,0.000297232
82,3393.75,0.45665,0.29951,0.85382,0.98148,0.948,0.98835,0.84849,0.68187,0.3131,0.88787,0.000283085,0.000283085,0.000283085
83,3434.79,0.46131,0.29814,0.85209,0.98594,0.94939,0.98489,0.83933,0.69479,0.31719,0.89024,0.000268938,0.000268938,0.000268938
84,3474.78,0.45557,0.28802,0.85356,0.97638,0.96026,0.98854,0.84505,0.68958,0.31171,0.89124,0.000254791,0.000254791,0.000254791
85,3515.09,0.45213,0.28917,0.85174,0.97122,0.9717,0.99128,0.84141,0.69989,0.31006,0.89846,0.000240644,0.000240644,0.000240644
86,3556,0.45543,0.29518,0.85316,0.98468,0.95635,0.9915,0.84213,0.68927,0.29829,0.89714,0.000226497,0.000226497,0.000226497
87,3597.06,0.45524,0.28211,0.85374,0.97696,0.96026,0.99079,0.84732,0.68522,0.29968,0.89324,0.000212349,0.000212349,0.000212349
88,3638.28,0.4452,0.28576,0.84847,0.97978,0.95996,0.99022,0.84501,0.68807,0.29965,0.89115,0.000198202,0.000198202,0.000198202
89,3679.18,0.44554,0.28112,0.85324,0.97687,0.97813,0.99173,0.84109,0.69606,0.30141,0.8957,0.000184055,0.000184055,0.000184055
90,3719.74,0.44696,0.28468,0.85253,0.9766,0.97728,0.99257,0.85073,0.69047,0.29668,0.89301,0.000169908,0.000169908,0.000169908
91,3759.48,0.41543,0.23363,0.81904,0.96217,0.98284,0.99042,0.84621,0.69059,0.2963,0.88863,0.000155761,0.000155761,0.000155761
92,3798.32,0.40675,0.22868,0.82139,0.98338,0.96353,0.99182,0.84763,0.6869,0.28646,0.88787,0.000141614,0.000141614,0.000141614
93,3837.3,0.40017,0.22556,0.81404,0.98405,0.96019,0.99152,0.84768,0.68378,0.29237,0.88768,0.000127467,0.000127467,0.000127467
94,3876.21,0.40962,0.22418,0.81878,0.9847,0.96088,0.99095,0.84705,0.6861,0.29462,0.89127,0.00011332,0.00011332,0.00011332
95,3913.66,0.39973,0.22257,0.819,0.98192,0.95846,0.9907,0.8452,0.69101,0.29588,0.89355,9.91726e-05,9.91726e-05,9.91726e-05
96,3952.81,0.39801,0.24676,0.81663,0.97466,0.98432,0.99169,0.84558,0.68704,0.2888,0.89353,8.50255e-05,8.50255e-05,8.50255e-05
97,3992.08,0.39248,0.23047,0.82218,0.97452,0.98027,0.99096,0.84447,0.68107,0.29201,0.8921,7.08784e-05,7.08784e-05,7.08784e-05
98,4030.4,0.38788,0.2187,0.81342,0.9852,0.96104,0.98881,0.84366,0.68459,0.29059,0.8925,5.67313e-05,5.67313e-05,5.67313e-05
99,4068.8,0.38248,0.21521,0.8146,0.98566,0.96142,0.98915,0.84197,0.69288,0.29382,0.89371,4.25842e-05,4.25842e-05,4.25842e-05
100,4108.09,0.38223,0.21503,0.81242,0.97416,0.98218,0.9905,0.8475,0.68568,0.29157,0.892,2.84371e-05,2.84371e-05,2.84371e-05
